source,target,weight,source_name,target_name,source_field,target_field
https://openalex.org/T10531,https://openalex.org/T10627,2,Advanced Vision and Imaging,Advanced Image and Video Retrieval Techniques,Computer Science,Computer Science
https://openalex.org/T10531,https://openalex.org/T10191,4,Advanced Vision and Imaging,Robotics and Sensor-Based Localization,Computer Science,Engineering
https://openalex.org/T10581,https://openalex.org/T10320,3,Neural dynamics and brain function,Neural Networks and Applications,Neuroscience,Computer Science
https://openalex.org/T10581,https://openalex.org/T10241,2,Neural dynamics and brain function,Functional Brain Connectivity Studies,Neuroscience,Neuroscience
https://openalex.org/T10581,https://openalex.org/T10429,2,Neural dynamics and brain function,EEG and Brain-Computer Interfaces,Neuroscience,Neuroscience
https://openalex.org/T10500,https://openalex.org/T12015,3,Sparse and Compressive Sensing Techniques,Photoacoustic and Ultrasonic Imaging,Engineering,Engineering
https://openalex.org/T11659,https://openalex.org/T12389,2,Advanced Image Fusion Techniques,Infrared Target Detection Methodologies,Engineering,Engineering
https://openalex.org/T10050,https://openalex.org/T10820,2,Multi-Criteria Decision Making,Fuzzy Logic and Control Systems,Decision Sciences,Computer Science
https://openalex.org/T10824,https://openalex.org/T10052,2,Image Retrieval and Classification Techniques,Medical Image Segmentation Techniques,Computer Science,Computer Science
https://openalex.org/T10824,https://openalex.org/T10627,4,Image Retrieval and Classification Techniques,Advanced Image and Video Retrieval Techniques,Computer Science,Computer Science
https://openalex.org/T12205,https://openalex.org/T10444,2,Time Series Analysis and Forecasting,Context-Aware Activity Recognition Systems,Computer Science,Computer Science
https://openalex.org/T11687,https://openalex.org/T13382,2,Teleoperation and Haptic Systems,Robotics and Automated Systems,Engineering,Engineering
https://openalex.org/T11687,https://openalex.org/T10868,2,Teleoperation and Haptic Systems,Soft Robotics and Applications,Engineering,Engineering
https://openalex.org/T11687,https://openalex.org/T10653,2,Teleoperation and Haptic Systems,Robot Manipulation and Learning,Engineering,Engineering
https://openalex.org/T11687,https://openalex.org/T10784,2,Teleoperation and Haptic Systems,Muscle activation and electromyography studies,Engineering,Engineering
https://openalex.org/T11687,https://openalex.org/T10040,2,Teleoperation and Haptic Systems,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T11372,https://openalex.org/T11236,2,Hydraulic and Pneumatic Systems,Control Systems and Identification,Engineering,Engineering
https://openalex.org/T11394,https://openalex.org/T11749,2,Dynamics and Control of Mechanical Systems,Iterative Learning Control Systems,Engineering,Engineering
https://openalex.org/T11394,https://openalex.org/T10571,3,Dynamics and Control of Mechanical Systems,Robotic Mechanisms and Dynamics,Engineering,Engineering
https://openalex.org/T11394,https://openalex.org/T10040,3,Dynamics and Control of Mechanical Systems,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T10028,https://openalex.org/T12380,3,Topic Modeling,Authorship Attribution and Profiling,Computer Science,Computer Science
https://openalex.org/T10028,https://openalex.org/T10181,2,Topic Modeling,Natural Language Processing Techniques,Computer Science,Computer Science
https://openalex.org/T10876,https://openalex.org/T10791,2,Fault Detection and Control Systems,Advanced Control Systems Optimization,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T11236,2,Fault Detection and Control Systems,Control Systems and Identification,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10040,3,Fault Detection and Control Systems,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T10052,https://openalex.org/T10627,2,Medical Image Segmentation Techniques,Advanced Image and Video Retrieval Techniques,Computer Science,Computer Science
https://openalex.org/T14246,https://openalex.org/T14498,3,E-Learning and Knowledge Management,Educational Technology in Learning,Computer Science,Computer Science
https://openalex.org/T10400,https://openalex.org/T11512,3,Network Security and Intrusion Detection,Anomaly Detection Techniques and Applications,Computer Science,Computer Science
