source,target,weight
https://openalex.org/T10791,https://openalex.org/T10564,1
https://openalex.org/T10791,https://openalex.org/T14083,1
https://openalex.org/T14083,https://openalex.org/T10564,1
https://openalex.org/T10573,https://openalex.org/T10228,1
https://openalex.org/T10573,https://openalex.org/T11222,1
https://openalex.org/T11222,https://openalex.org/T10228,1
https://openalex.org/T11405,https://openalex.org/T10644,1
https://openalex.org/T11405,https://openalex.org/T13126,1
https://openalex.org/T10644,https://openalex.org/T13126,1
https://openalex.org/T10703,https://openalex.org/T10639,1
https://openalex.org/T10703,https://openalex.org/T10679,1
https://openalex.org/T10679,https://openalex.org/T10639,1
https://openalex.org/T10700,https://openalex.org/T11201,1
https://openalex.org/T10700,https://openalex.org/T11301,1
https://openalex.org/T11201,https://openalex.org/T11301,1
