id,name,frequency,field,subfield,domain
https://openalex.org/T11506,Children's Rights and Participation,1,Social Sciences,Sociology and Political Science,Social Sciences
https://openalex.org/T12714,Youth Education and Societal Dynamics,1,Social Sciences,Sociology and Political Science,Social Sciences
https://openalex.org/T11998,Youth Development and Social Support,1,Social Sciences,Safety Research,Social Sciences
https://openalex.org/T10260,Software Engineering Research,1,Computer Science,Information Systems,Physical Sciences
https://openalex.org/T10181,Natural Language Processing Techniques,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T12254,Machine Learning in Bioinformatics,1,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Life Sciences
https://openalex.org/T11017,Chaos-based Image/Signal Encryption,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10951,Cryptographic Implementations and Security,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T11130,Coding theory and cryptography,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T11416,Numerical methods for differential equations,1,Mathematics,Numerical Analysis,Physical Sciences
https://openalex.org/T13286,Modeling and Simulation Systems,1,Computer Science,Computational Theory and Mathematics,Physical Sciences
https://openalex.org/T12772,Control and Stability of Dynamical Systems,1,Engineering,Control and Systems Engineering,Physical Sciences
https://openalex.org/T14246,E-Learning and Knowledge Management,1,Computer Science,Computer Science Applications,Physical Sciences
https://openalex.org/T14498,Educational Technology in Learning,1,Computer Science,Information Systems,Physical Sciences
https://openalex.org/T11111,Spectroscopy and Laser Applications,1,Chemistry,Spectroscopy,Physical Sciences
https://openalex.org/T12153,Advanced Optical Sensing Technologies,1,Physics and Astronomy,Instrumentation,Physical Sciences
https://openalex.org/T11992,CCD and CMOS Imaging Sensors,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
