id,name,frequency,field,subfield,domain,degree,degree_centrality,betweenness_centrality,closeness_centrality
https://openalex.org/T10531,Advanced Vision and Imaging,3,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences,1,0.05555555555555555,0.0,0.05555555555555555
https://openalex.org/T10972,Power Systems Fault Detection,3,Engineering,Control and Systems Engineering,Physical Sciences,1,0.05555555555555555,0.0,0.05555555555555555
https://openalex.org/T10876,Fault Detection and Control Systems,5,Engineering,Control and Systems Engineering,Physical Sciences,2,0.1111111111111111,0.0,0.125
https://openalex.org/T10215,Semantic Web and Ontologies,9,Computer Science,Artificial Intelligence,Physical Sciences,3,0.16666666666666666,0.013071895424836602,0.16666666666666666
https://openalex.org/T10791,Advanced Control Systems Optimization,8,Engineering,Control and Systems Engineering,Physical Sciences,3,0.16666666666666666,0.013071895424836602,0.16666666666666666
https://openalex.org/T10305,Power System Optimization and Stability,6,Engineering,Electrical and Electronic Engineering,Physical Sciences,1,0.05555555555555555,0.0,0.05555555555555555
https://openalex.org/T10181,Natural Language Processing Techniques,3,Computer Science,Artificial Intelligence,Physical Sciences,1,0.05555555555555555,0.0,0.09999999999999999
https://openalex.org/T10278,Electric Motor Design and Analysis,3,Engineering,Electrical and Electronic Engineering,Physical Sciences,1,0.05555555555555555,0.0,0.05555555555555555
https://openalex.org/T10820,Fuzzy Logic and Control Systems,5,Computer Science,Artificial Intelligence,Physical Sciences,1,0.05555555555555555,0.0,0.1111111111111111
https://openalex.org/T13114,Image Processing Techniques and Applications,3,Engineering,Media Technology,Physical Sciences,1,0.05555555555555555,0.0,0.05555555555555555
https://openalex.org/T11010,"Logic, Reasoning, and Knowledge",7,Computer Science,Artificial Intelligence,Physical Sciences,2,0.1111111111111111,0.0,0.125
https://openalex.org/T10504,Sensorless Control of Electric Motors,3,Engineering,Electrical and Electronic Engineering,Physical Sciences,1,0.05555555555555555,0.0,0.05555555555555555
https://openalex.org/T10320,Neural Networks and Applications,13,Computer Science,Artificial Intelligence,Physical Sciences,3,0.16666666666666666,0.032679738562091505,0.17777777777777778
https://openalex.org/T11053,Process Optimization and Integration,4,Engineering,Control and Systems Engineering,Physical Sciences,2,0.1111111111111111,0.0,0.125
https://openalex.org/T11210,Mathematical Analysis and Transform Methods,3,Mathematics,Applied Mathematics,Physical Sciences,1,0.05555555555555555,0.0,0.1111111111111111
https://openalex.org/T10688,Image and Signal Denoising Methods,7,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences,2,0.1111111111111111,0.0196078431372549,0.14814814814814814
https://openalex.org/T12389,Infrared Target Detection Methodologies,3,Engineering,Aerospace Engineering,Physical Sciences,1,0.05555555555555555,0.0,0.09876543209876543
https://openalex.org/T10456,Multi-Agent Systems and Negotiation,5,Computer Science,Artificial Intelligence,Physical Sciences,2,0.1111111111111111,0.0,0.125
https://openalex.org/T10040,Adaptive Control of Nonlinear Systems,6,Engineering,Control and Systems Engineering,Physical Sciences,1,0.05555555555555555,0.0,0.09999999999999999
