id,name,frequency,field,subfield,domain
https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education,2,Medicine,Health Informatics,Health Sciences
https://openalex.org/T10028,Topic Modeling,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T12128,AI in Service Interactions,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T12422,Radiomics and Machine Learning in Medical Imaging,2,Medicine,"Radiology, Nuclear Medicine and Imaging",Health Sciences
https://openalex.org/T10036,Advanced Neural Network Applications,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10278,Electric Motor Design and Analysis,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T11602,Magnetic Bearings and Levitation Dynamics,1,Engineering,Control and Systems Engineering,Physical Sciences
https://openalex.org/T10504,Sensorless Control of Electric Motors,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T13274,Expert finding and Q&A systems,1,Computer Science,Information Systems,Physical Sciences
https://openalex.org/T10584,Reproductive Physiology in Livestock,1,Agricultural and Biological Sciences,Agronomy and Crop Science,Life Sciences
https://openalex.org/T10594,Genetic and phenotypic traits in livestock,1,"Biochemistry, Genetics and Molecular Biology",Genetics,Life Sciences
https://openalex.org/T12365,Effects of Environmental Stressors on Livestock,1,Agricultural and Biological Sciences,Animal Science and Zoology,Life Sciences
https://openalex.org/T10895,Species Distribution and Climate Change,1,Environmental Science,Ecological Modeling,Physical Sciences
https://openalex.org/T13435,Animal and Plant Science Education,1,Psychology,Social Psychology,Social Sciences
https://openalex.org/T12478,Wikis in Education and Collaboration,1,Social Sciences,Communication,Social Sciences
https://openalex.org/T12157,Geochemistry and Geologic Mapping,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T10689,Remote-Sensing Image Classification,1,Engineering,Media Technology,Physical Sciences
https://openalex.org/T11659,Advanced Image Fusion Techniques,1,Engineering,Media Technology,Physical Sciences
https://openalex.org/T11431,Action Observation and Synchronization,1,Psychology,Social Psychology,Social Sciences
https://openalex.org/T11334,Psychosomatic Disorders and Their Treatments,1,Medicine,Psychiatry and Mental health,Health Sciences
https://openalex.org/T12035,Pain Management and Placebo Effect,2,Neuroscience,Cognitive Neuroscience,Life Sciences
https://openalex.org/T10531,Advanced Vision and Imaging,2,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10191,Robotics and Sensor-Based Localization,2,Engineering,Aerospace Engineering,Physical Sciences
https://openalex.org/T12549,Image and Object Detection Techniques,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10627,Advanced Image and Video Retrieval Techniques,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10465,Neurobiology of Language and Bilingualism,2,Neuroscience,Cognitive Neuroscience,Life Sciences
https://openalex.org/T10009,Dementia and Cognitive Impairment Research,1,Medicine,Psychiatry and Mental health,Health Sciences
https://openalex.org/T10103,Reading and Literacy Development,1,Psychology,Developmental and Educational Psychology,Social Sciences
https://openalex.org/T11192,Underwater Vehicles and Communication Systems,1,Engineering,Ocean Engineering,Physical Sciences
https://openalex.org/T10040,Adaptive Control of Nonlinear Systems,2,Engineering,Control and Systems Engineering,Physical Sciences
https://openalex.org/T10586,Robotic Path Planning Algorithms,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10244,Chaos control and synchronization,1,Physics and Astronomy,Statistical and Nonlinear Physics,Physical Sciences
https://openalex.org/T12162,Cellular Automata and Applications,1,Computer Science,Computational Theory and Mathematics,Physical Sciences
https://openalex.org/T11017,Chaos-based Image/Signal Encryption,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T11665,Animal Vocal Communication and Behavior,1,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,Life Sciences
https://openalex.org/T12644,Wildlife-Road Interactions and Conservation,1,Environmental Science,Ecology,Physical Sciences
https://openalex.org/T10659,Marine animal studies overview,1,Environmental Science,Ecology,Physical Sciences
https://openalex.org/T10410,COVID-19 epidemiological studies,1,Mathematics,Modeling and Simulation,Physical Sciences
https://openalex.org/T10041,COVID-19 Clinical Research Studies,1,Medicine,Infectious Diseases,Health Sciences
https://openalex.org/T11296,COVID-19 and healthcare impacts,1,Medicine,Oncology,Health Sciences
https://openalex.org/T10888,Augmented Reality Applications,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10789,Interactive and Immersive Displays,1,Computer Science,Human-Computer Interaction,Physical Sciences
https://openalex.org/T11211,3D Surveying and Cultural Heritage,1,Earth and Planetary Sciences,Geology,Physical Sciences
https://openalex.org/T10567,Vehicle Routing Optimization Methods,1,Engineering,Industrial and Manufacturing Engineering,Physical Sciences
https://openalex.org/T13402,Business Strategy and Innovation,1,"Business, Management and Accounting",Strategy and Management,Social Sciences
https://openalex.org/T11223,Maritime Ports and Logistics,1,Engineering,Industrial and Manufacturing Engineering,Physical Sciences
https://openalex.org/T11236,Control Systems and Identification,1,Engineering,Control and Systems Engineering,Physical Sciences
https://openalex.org/T11749,Iterative Learning Control Systems,1,Engineering,Control and Systems Engineering,Physical Sciences
https://openalex.org/T10429,EEG and Brain-Computer Interfaces,1,Neuroscience,Cognitive Neuroscience,Life Sciences
https://openalex.org/T10241,Functional Brain Connectivity Studies,1,Neuroscience,Cognitive Neuroscience,Life Sciences
https://openalex.org/T11273,Advanced Graph Neural Networks,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T10545,Optimization and Variational Analysis,1,Computer Science,Computational Theory and Mathematics,Physical Sciences
https://openalex.org/T13855,Aerospace Engineering and Control Systems,1,Engineering,Aerospace Engineering,Physical Sciences
https://openalex.org/T12809,Contact Mechanics and Variational Inequalities,1,Computer Science,Computational Theory and Mathematics,Physical Sciences
https://openalex.org/T10862,AI in cancer detection,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T12874,Digital Imaging for Blood Diseases,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10730,Language Development and Disorders,1,Psychology,Developmental and Educational Psychology,Social Sciences
https://openalex.org/T10106,Autism Spectrum Disorder Research,1,Neuroscience,Cognitive Neuroscience,Life Sciences
https://openalex.org/T10708,Mindfulness and Compassion Interventions,1,Psychology,Clinical Psychology,Social Sciences
https://openalex.org/T10084,Musculoskeletal pain and rehabilitation,1,Medicine,Pharmacology,Health Sciences
https://openalex.org/T10692,Urban Green Space and Health,1,Environmental Science,"Health, Toxicology and Mutagenesis",Physical Sciences
https://openalex.org/T12950,Educational Environments and Student Outcomes,1,Social Sciences,Education,Social Sciences
https://openalex.org/T11692,Noise Effects and Management,1,Health Professions,Speech and Hearing,Health Sciences
https://openalex.org/T10851,Optical Wireless Communication Technologies,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T10767,Advanced Photonic Communication Systems,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T10205,Advanced Fiber Optic Sensors,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T11689,Adversarial Robustness in Machine Learning,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T10502,Advanced Memory and Neural Computing,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T10025,Black Holes and Theoretical Physics,1,Physics and Astronomy,Nuclear and High Energy Physics,Physical Sciences
https://openalex.org/T10229,Geometric Analysis and Curvature Flows,1,Mathematics,Applied Mathematics,Physical Sciences
https://openalex.org/T13080,Advanced Differential Geometry Research,1,Physics and Astronomy,Astronomy and Astrophysics,Physical Sciences
https://openalex.org/T10916,Surgical Simulation and Training,1,Medicine,Surgery,Health Sciences
https://openalex.org/T11984,Anatomy and Medical Technology,1,Engineering,Biomedical Engineering,Physical Sciences
https://openalex.org/T13953,Digital Imaging in Medicine,1,Medicine,"Public Health, Environmental and Occupational Health",Health Sciences
https://openalex.org/T12153,Advanced Optical Sensing Technologies,1,Physics and Astronomy,Instrumentation,Physical Sciences
https://openalex.org/T12015,Photoacoustic and Ultrasonic Imaging,1,Engineering,Biomedical Engineering,Physical Sciences
