source,target,weight,source_name,target_name,source_field,target_field
https://openalex.org/T10026,https://openalex.org/T11323,2,"Galaxies: Formation, Evolution, Phenomena",Gamma-ray bursts and supernovae,Physics and Astronomy,Physics and Astronomy
https://openalex.org/T10039,https://openalex.org/T12917,3,"Stellar, planetary, and galactic studies",Astronomy and Astrophysical Research,Physics and Astronomy,Physics and Astronomy
https://openalex.org/T10531,https://openalex.org/T11105,2,Advanced Vision and Imaging,Advanced Image Processing Techniques,Computer Science,Computer Science
https://openalex.org/T10581,https://openalex.org/T10429,3,Neural dynamics and brain function,EEG and Brain-Computer Interfaces,Neuroscience,Neuroscience
https://openalex.org/T10581,https://openalex.org/T10241,2,Neural dynamics and brain function,Functional Brain Connectivity Studies,Neuroscience,Neuroscience
https://openalex.org/T10824,https://openalex.org/T10052,2,Image Retrieval and Classification Techniques,Medical Image Segmentation Techniques,Computer Science,Computer Science
https://openalex.org/T10824,https://openalex.org/T10191,2,Image Retrieval and Classification Techniques,Robotics and Sensor-Based Localization,Computer Science,Engineering
https://openalex.org/T12542,https://openalex.org/T10021,3,Second Language Learning and Teaching,EFL/ESL Teaching and Learning,Arts and Humanities,Arts and Humanities
https://openalex.org/T10429,https://openalex.org/T10241,2,EEG and Brain-Computer Interfaces,Functional Brain Connectivity Studies,Neuroscience,Neuroscience
https://openalex.org/T11372,https://openalex.org/T10805,2,Hydraulic and Pneumatic Systems,Vehicle Dynamics and Control Systems,Engineering,Engineering
https://openalex.org/T11372,https://openalex.org/T10690,3,Hydraulic and Pneumatic Systems,Vibration Control and Rheological Fluids,Engineering,Engineering
https://openalex.org/T11323,https://openalex.org/T12917,2,Gamma-ray bursts and supernovae,Astronomy and Astrophysical Research,Physics and Astronomy,Physics and Astronomy
https://openalex.org/T10052,https://openalex.org/T12549,2,Medical Image Segmentation Techniques,Image and Object Detection Techniques,Computer Science,Computer Science
https://openalex.org/T10876,https://openalex.org/T12282,2,Fault Detection and Control Systems,Mineral Processing and Grinding,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T11236,5,Fault Detection and Control Systems,Control Systems and Identification,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10711,3,Fault Detection and Control Systems,Target Tracking and Data Fusion in Sensor Networks,Engineering,Computer Science
https://openalex.org/T10876,https://openalex.org/T10791,3,Fault Detection and Control Systems,Advanced Control Systems Optimization,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10220,3,Fault Detection and Control Systems,Machine Fault Diagnosis Techniques,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10046,2,Fault Detection and Control Systems,Stability and Control of Uncertain Systems,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10040,4,Fault Detection and Control Systems,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T10711,https://openalex.org/T11236,3,Target Tracking and Data Fusion in Sensor Networks,Control Systems and Identification,Computer Science,Engineering
https://openalex.org/T10711,https://openalex.org/T11233,3,Target Tracking and Data Fusion in Sensor Networks,Advanced Adaptive Filtering Techniques,Computer Science,Engineering
https://openalex.org/T10711,https://openalex.org/T10191,2,Target Tracking and Data Fusion in Sensor Networks,Robotics and Sensor-Based Localization,Computer Science,Engineering
https://openalex.org/T10711,https://openalex.org/T10688,2,Target Tracking and Data Fusion in Sensor Networks,Image and Signal Denoising Methods,Computer Science,Computer Science
https://openalex.org/T10791,https://openalex.org/T11663,3,Advanced Control Systems Optimization,Viral Infectious Diseases and Gene Expression in Insects,Engineering,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10791,https://openalex.org/T11749,2,Advanced Control Systems Optimization,Iterative Learning Control Systems,Engineering,Engineering
