id,name,frequency,field,subfield,domain,degree,degree_centrality,betweenness_centrality,closeness_centrality
https://openalex.org/T12859,Cell Image Analysis Techniques,3,"Biochemistry, Genetics and Molecular Biology",Biophysics,Life Sciences,1,0.02857142857142857,0.0,0.045714285714285714
https://openalex.org/T10531,Advanced Vision and Imaging,5,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences,2,0.05714285714285714,0.0067226890756302525,0.07619047619047618
https://openalex.org/T10581,Neural dynamics and brain function,4,Neuroscience,Cognitive Neuroscience,Life Sciences,2,0.05714285714285714,0.023529411764705882,0.14950166112956811
https://openalex.org/T11687,Teleoperation and Haptic Systems,5,Engineering,Mechanical Engineering,Physical Sciences,1,0.02857142857142857,0.0,0.03809523809523809
https://openalex.org/T10876,Fault Detection and Control Systems,14,Engineering,Control and Systems Engineering,Physical Sciences,6,0.17142857142857143,0.052100840336134456,0.22167487684729065
https://openalex.org/T10188,Advanced machining processes and optimization,4,Engineering,Mechanical Engineering,Physical Sciences,3,0.08571428571428572,0.023529411764705882,0.13975155279503104
https://openalex.org/T10887,Bioinformatics and Genomic Networks,3,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Life Sciences,1,0.02857142857142857,0.0,0.02857142857142857
https://openalex.org/T11301,Advanced Surface Polishing Techniques,4,Engineering,Biomedical Engineering,Physical Sciences,1,0.02857142857142857,0.0,0.10714285714285714
https://openalex.org/T10215,Semantic Web and Ontologies,7,Computer Science,Artificial Intelligence,Physical Sciences,2,0.05714285714285714,0.0,0.05714285714285714
https://openalex.org/T10791,Advanced Control Systems Optimization,13,Engineering,Control and Systems Engineering,Physical Sciences,5,0.14285714285714285,0.0319327731092437,0.1948051948051948
https://openalex.org/T11270,Complex Systems and Time Series Analysis,3,"Economics, Econometrics and Finance",Economics and Econometrics,Social Sciences,1,0.02857142857142857,0.0,0.03809523809523809
https://openalex.org/T10638,Optical measurement and interference techniques,4,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences,2,0.05714285714285714,0.005042016806722689,0.06530612244897958
