source,target,weight,source_name,target_name,source_field,target_field
https://openalex.org/T10663,https://openalex.org/T10768,3,Advanced Battery Technologies Research,Electric Vehicles and Infrastructure,Engineering,Engineering
https://openalex.org/T10663,https://openalex.org/T10175,2,Advanced Battery Technologies Research,Advanced DC-DC Converters,Engineering,Engineering
https://openalex.org/T10454,https://openalex.org/T10305,3,Optimal Power Flow Distribution,Power System Optimization and Stability,Engineering,Engineering
https://openalex.org/T10050,https://openalex.org/T12709,5,Multi-Criteria Decision Making,Optimization and Mathematical Programming,Decision Sciences,Engineering
https://openalex.org/T10050,https://openalex.org/T12135,3,Multi-Criteria Decision Making,Fuzzy Systems and Optimization,Decision Sciences,Mathematics
https://openalex.org/T11182,https://openalex.org/T12288,2,Auction Theory and Applications,Optimization and Search Problems,Decision Sciences,Computer Science
https://openalex.org/T10410,https://openalex.org/T11775,2,COVID-19 epidemiological studies,COVID-19 diagnosis using AI,Mathematics,Medicine
https://openalex.org/T11707,https://openalex.org/T10667,2,Gaze Tracking and Assistive Technology,Emotion and Mood Recognition,Computer Science,Psychology
https://openalex.org/T11575,https://openalex.org/T10248,2,Nonlinear Photonic Systems,Nonlinear Waves and Solitons,Physics and Astronomy,Physics and Astronomy
https://openalex.org/T12205,https://openalex.org/T11512,2,Time Series Analysis and Forecasting,Anomaly Detection Techniques and Applications,Computer Science,Computer Science
https://openalex.org/T12277,https://openalex.org/T10223,3,Frequency Control in Power Systems,Microgrid Control and Optimization,Engineering,Engineering
https://openalex.org/T11687,https://openalex.org/T10868,3,Teleoperation and Haptic Systems,Soft Robotics and Applications,Engineering,Engineering
https://openalex.org/T11687,https://openalex.org/T10653,3,Teleoperation and Haptic Systems,Robot Manipulation and Learning,Engineering,Engineering
https://openalex.org/T11394,https://openalex.org/T11615,2,Dynamics and Control of Mechanical Systems,Control and Dynamics of Mobile Robots,Engineering,Engineering
https://openalex.org/T11394,https://openalex.org/T10571,2,Dynamics and Control of Mechanical Systems,Robotic Mechanisms and Dynamics,Engineering,Engineering
https://openalex.org/T10211,https://openalex.org/T11948,2,Computational Drug Discovery Methods,Machine Learning in Materials Science,Computer Science,Materials Science
https://openalex.org/T10972,https://openalex.org/T13183,2,Power Systems Fault Detection,Islanding Detection in Power Systems,Engineering,Engineering
https://openalex.org/T10972,https://openalex.org/T11102,2,Power Systems Fault Detection,HVDC Systems and Fault Protection,Engineering,Engineering
