id,name,frequency,field,subfield,domain
https://openalex.org/T12549,Image and Object Detection Techniques,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10052,Medical Image Segmentation Techniques,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T12111,Industrial Vision Systems and Defect Detection,1,Engineering,Industrial and Manufacturing Engineering,Physical Sciences
https://openalex.org/T10640,Spectroscopy and Chemometric Analyses,1,Chemistry,Analytical Chemistry,Physical Sciences
https://openalex.org/T11447,Blind Source Separation Techniques,1,Computer Science,Signal Processing,Physical Sciences
https://openalex.org/T10977,Optical Imaging and Spectroscopy Techniques,1,Medicine,"Radiology, Nuclear Medicine and Imaging",Health Sciences
https://openalex.org/T10447,Environmental Toxicology and Ecotoxicology,1,Environmental Science,"Health, Toxicology and Mutagenesis",Physical Sciences
https://openalex.org/T11634,Water Quality and Pollution Assessment,1,Environmental Science,Water Science and Technology,Physical Sciences
https://openalex.org/T10230,Marine and fisheries research,1,Environmental Science,Global and Planetary Change,Physical Sciences
https://openalex.org/T10407,Lipid Membrane Structure and Behavior,1,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Life Sciences
https://openalex.org/T11177,Spectroscopy and Quantum Chemical Studies,1,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Physical Sciences
https://openalex.org/T10044,Protein Structure and Dynamics,1,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Life Sciences
https://openalex.org/T11125,Petri Nets in System Modeling,1,Computer Science,Computational Theory and Mathematics,Physical Sciences
https://openalex.org/T12072,Machine Learning and Algorithms,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T10703,Business Process Modeling and Analysis,1,"Business, Management and Accounting",Management Information Systems,Social Sciences
https://openalex.org/T10021,EFL/ESL Teaching and Learning,1,Arts and Humanities,Language and Linguistics,Social Sciences
https://openalex.org/T12542,Second Language Learning and Teaching,1,Arts and Humanities,Literature and Literary Theory,Social Sciences
https://openalex.org/T10636,Innovative Teaching and Learning Methods,1,Psychology,Developmental and Educational Psychology,Social Sciences
https://openalex.org/T10374,Advanced Graph Theory Research,1,Computer Science,Computational Theory and Mathematics,Physical Sciences
https://openalex.org/T11329,Limits and Structures in Graph Theory,1,Mathematics,Discrete Mathematics and Combinatorics,Physical Sciences
https://openalex.org/T11151,Advanced Topology and Set Theory,1,Mathematics,Geometry and Topology,Physical Sciences
