id,name,frequency,field,subfield,domain
https://openalex.org/T10490,Orbital Angular Momentum in Optics,1,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Physical Sciences
https://openalex.org/T10988,Advanced Fiber Laser Technologies,1,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Physical Sciences
https://openalex.org/T10232,Optical Network Technologies,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T14158,Optical Systems and Laser Technology,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T11484,Adaptive optics and wavefront sensing,1,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Physical Sciences
https://openalex.org/T12389,Infrared Target Detection Methodologies,1,Engineering,Aerospace Engineering,Physical Sciences
https://openalex.org/T10223,Microgrid Control and Optimization,1,Engineering,Control and Systems Engineering,Physical Sciences
https://openalex.org/T13183,Islanding Detection in Power Systems,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T10603,Smart Grid Energy Management,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T11761,Resilience and Mental Health,1,Psychology,Clinical Psychology,Social Sciences
https://openalex.org/T10688,Image and Signal Denoising Methods,2,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T11992,CCD and CMOS Imaging Sensors,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T13114,Image Processing Techniques and Applications,1,Engineering,Media Technology,Physical Sciences
https://openalex.org/T10586,Robotic Path Planning Algorithms,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T10191,Robotics and Sensor-Based Localization,1,Engineering,Aerospace Engineering,Physical Sciences
https://openalex.org/T11133,UAV Applications and Optimization,1,Engineering,Aerospace Engineering,Physical Sciences
https://openalex.org/T11659,Advanced Image Fusion Techniques,1,Engineering,Media Technology,Physical Sciences
https://openalex.org/T10901,Advanced Data Compression Techniques,1,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences
https://openalex.org/T12698,3D Modeling in Geospatial Applications,1,Engineering,Building and Construction,Physical Sciences
https://openalex.org/T10757,Geographic Information Systems Studies,1,Social Sciences,"Geography, Planning and Development",Social Sciences
https://openalex.org/T13734,Advanced Computational Techniques and Applications,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T10574,Crime Patterns and Interventions,1,Social Sciences,Sociology and Political Science,Social Sciences
https://openalex.org/T11838,"Crime, Illicit Activities, and Governance",1,Social Sciences,Sociology and Political Science,Social Sciences
https://openalex.org/T10646,Experimental Behavioral Economics Studies,1,Social Sciences,Safety Research,Social Sciences
