source,target,weight,source_name,target_name,source_field,target_field
https://openalex.org/T12859,https://openalex.org/T13114,2,Cell Image Analysis Techniques,Image Processing Techniques and Applications,"Biochemistry, Genetics and Molecular Biology",Engineering
https://openalex.org/T10531,https://openalex.org/T10638,2,Advanced Vision and Imaging,Optical measurement and interference techniques,Computer Science,Computer Science
https://openalex.org/T10531,https://openalex.org/T13114,2,Advanced Vision and Imaging,Image Processing Techniques and Applications,Computer Science,Engineering
https://openalex.org/T10581,https://openalex.org/T10427,2,Neural dynamics and brain function,Visual perception and processing mechanisms,Neuroscience,Neuroscience
https://openalex.org/T10581,https://openalex.org/T10320,2,Neural dynamics and brain function,Neural Networks and Applications,Neuroscience,Computer Science
https://openalex.org/T11687,https://openalex.org/T10653,2,Teleoperation and Haptic Systems,Robot Manipulation and Learning,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T11236,4,Fault Detection and Control Systems,Control Systems and Identification,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10791,3,Fault Detection and Control Systems,Advanced Control Systems Optimization,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10220,2,Fault Detection and Control Systems,Machine Fault Diagnosis Techniques,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10320,3,Fault Detection and Control Systems,Neural Networks and Applications,Engineering,Computer Science
https://openalex.org/T10876,https://openalex.org/T10046,3,Fault Detection and Control Systems,Stability and Control of Uncertain Systems,Engineering,Engineering
https://openalex.org/T10876,https://openalex.org/T10040,2,Fault Detection and Control Systems,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T10188,https://openalex.org/T11583,3,Advanced machining processes and optimization,Advanced Measurement and Metrology Techniques,Engineering,Engineering
https://openalex.org/T10188,https://openalex.org/T11749,2,Advanced machining processes and optimization,Iterative Learning Control Systems,Engineering,Engineering
https://openalex.org/T10188,https://openalex.org/T11301,2,Advanced machining processes and optimization,Advanced Surface Polishing Techniques,Engineering,Engineering
https://openalex.org/T10887,https://openalex.org/T10621,2,Bioinformatics and Genomic Networks,Gene Regulatory Network Analysis,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10215,https://openalex.org/T10456,4,Semantic Web and Ontologies,Multi-Agent Systems and Negotiation,Computer Science,Computer Science
https://openalex.org/T10215,https://openalex.org/T11010,4,Semantic Web and Ontologies,"Logic, Reasoning, and Knowledge",Computer Science,Computer Science
https://openalex.org/T10791,https://openalex.org/T11236,3,Advanced Control Systems Optimization,Control Systems and Identification,Engineering,Engineering
https://openalex.org/T10791,https://openalex.org/T11081,3,Advanced Control Systems Optimization,Advanced Control Systems Design,Engineering,Engineering
https://openalex.org/T10791,https://openalex.org/T10820,2,Advanced Control Systems Optimization,Fuzzy Logic and Control Systems,Engineering,Computer Science
https://openalex.org/T10791,https://openalex.org/T10040,4,Advanced Control Systems Optimization,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T11270,https://openalex.org/T11187,2,Complex Systems and Time Series Analysis,Nonlinear Dynamics and Pattern Formation,"Economics, Econometrics and Finance",Computer Science
https://openalex.org/T10638,https://openalex.org/T11408,2,Optical measurement and interference techniques,Advanced Optical Imaging Technologies,Computer Science,Engineering
https://openalex.org/T10220,https://openalex.org/T10534,2,Machine Fault Diagnosis Techniques,Structural Health Monitoring Techniques,Engineering,Engineering
https://openalex.org/T10820,https://openalex.org/T10320,2,Fuzzy Logic and Control Systems,Neural Networks and Applications,Computer Science,Computer Science
https://openalex.org/T11749,https://openalex.org/T11583,2,Iterative Learning Control Systems,Advanced Measurement and Metrology Techniques,Engineering,Engineering
https://openalex.org/T11749,https://openalex.org/T10040,2,Iterative Learning Control Systems,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T11010,https://openalex.org/T10456,4,"Logic, Reasoning, and Knowledge",Multi-Agent Systems and Negotiation,Computer Science,Computer Science
https://openalex.org/T10320,https://openalex.org/T11236,4,Neural Networks and Applications,Control Systems and Identification,Computer Science,Engineering
https://openalex.org/T10320,https://openalex.org/T10040,3,Neural Networks and Applications,Adaptive Control of Nonlinear Systems,Computer Science,Engineering
https://openalex.org/T10191,https://openalex.org/T10586,2,Robotics and Sensor-Based Localization,Robotic Path Planning Algorithms,Engineering,Computer Science
https://openalex.org/T11236,https://openalex.org/T10040,4,Control Systems and Identification,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T10244,https://openalex.org/T11187,2,Chaos control and synchronization,Nonlinear Dynamics and Pattern Formation,Physics and Astronomy,Computer Science
https://openalex.org/T10653,https://openalex.org/T10868,3,Robot Manipulation and Learning,Soft Robotics and Applications,Engineering,Engineering
https://openalex.org/T10046,https://openalex.org/T10040,4,Stability and Control of Uncertain Systems,Adaptive Control of Nonlinear Systems,Engineering,Engineering
https://openalex.org/T10462,https://openalex.org/T11975,2,Reinforcement Learning in Robotics,Evolutionary Algorithms and Applications,Computer Science,Computer Science
