source,target,weight
https://openalex.org/T10490,https://openalex.org/T10232,1
https://openalex.org/T10490,https://openalex.org/T10988,1
https://openalex.org/T10988,https://openalex.org/T10232,1
https://openalex.org/T14158,https://openalex.org/T11484,1
https://openalex.org/T14158,https://openalex.org/T12389,1
https://openalex.org/T11484,https://openalex.org/T12389,1
https://openalex.org/T10223,https://openalex.org/T10603,1
https://openalex.org/T10223,https://openalex.org/T13183,1
https://openalex.org/T13183,https://openalex.org/T10603,1
https://openalex.org/T10688,https://openalex.org/T11992,1
https://openalex.org/T10688,https://openalex.org/T13114,1
https://openalex.org/T10688,https://openalex.org/T10901,1
https://openalex.org/T10688,https://openalex.org/T11659,1
https://openalex.org/T11992,https://openalex.org/T13114,1
https://openalex.org/T10586,https://openalex.org/T10191,1
https://openalex.org/T10586,https://openalex.org/T11133,1
https://openalex.org/T10191,https://openalex.org/T11133,1
https://openalex.org/T11659,https://openalex.org/T10901,1
https://openalex.org/T12698,https://openalex.org/T10757,1
https://openalex.org/T12698,https://openalex.org/T13734,1
https://openalex.org/T10757,https://openalex.org/T13734,1
https://openalex.org/T10574,https://openalex.org/T10646,1
https://openalex.org/T10574,https://openalex.org/T11838,1
https://openalex.org/T11838,https://openalex.org/T10646,1
